task,instance_id,condition,gold_answer,bertscore_f1,bt_bertscore,gpt_orig_answer,gpt_para_answer,gpt_orig_logprob,gpt_para_logprob,llama_orig_answer,llama_para_answer,gemma_orig_answer,gemma_para_answer
trivia_qa,5094,syntactic,New Haven,0.9479584097862244,0.9352470636367798,New Haven,New Haven,-0.0042716656,-0.0061743134,"New Haven, Connecticut.",Connecticut.,"New Haven, Connecticut","New Haven, Connecticut"
trivia_qa,5094,voice,New Haven,0.9490755200386047,0.9352470636367798,New Haven,New Haven,-0.0038286985,-0.006106301,"New Haven, Connecticut.",Connecticut.,"New Haven, Connecticut","New Haven, Connecticut. "
trivia_qa,5094,formality,New Haven,0.9239542484283447,0.9239542484283447,New Haven,"New Haven, Connecticut",-0.0042716656,-0.061872784,"New Haven, Connecticut.","New Haven, Connecticut. To answer the trivia question ""Where can you find Yale University?"", the short and direct answer is:","New Haven, Connecticut","New Haven, Connecticut. "
trivia_qa,7055,lexical,National Space Centre,0.9570761919021606,0.9330973625183105,National Space Centre,National Space Centre,-0.013207058,-0.019277234,"The National Coal Museum. To find the correct answer to this trivia question, you would need to search for information about attractions located on Exploration Drive in Leicester and identify the one that is specifically known as the National Coal Museum. This museum is dedicated to exploring","Jimmy Carr. Jimmy Carr is a popular British comedian and television presenter who has been a regular on the BBC's ""The One Show"" since 2013. He often appears as a guest on various shows across different channels, including ""Expl",The Discovery Centre,The Discovery Magnet
trivia_qa,7055,syntactic,National Space Centre,0.9663029313087463,0.9466251134872437,National Space Centre,National Space Centre,-0.013706913,-0.019925304,"The National Coal Museum. To find the correct answer to this trivia question, you would need to search for information about attractions located on Exploration Drive in Leicester and identify the one that is specifically known as the National Coal Museum. This museum is dedicated to exploring",The National Coal Mining Museum for England.,The Discovery Centre,The Discovery Centre in Leicester. 
trivia_qa,7055,voice,National Space Centre,0.9663029313087463,0.9466251134872437,National Space Centre,National Space Centre,-0.0143866725,-0.019925304,"The National Coal Museum. To find the correct answer to this trivia question, you would need to search for information about attractions located on Exploration Drive in Leicester and identify the one that is specifically known as the National Coal Museum. This museum is dedicated to exploring",The National Coal Mining Museum for England.,The Discovery Centre,The Discovery Centre in Leicester. 
trivia_qa,7055,formality,National Space Centre,0.9517943263053894,0.9534176588058472,National Space Centre,National Space Centre,-0.013284934,-0.021346694,"The National Coal Museum. To find the correct answer to this trivia question, you would need to search for information about attractions located on Exploration Drive in Leicester and identify the one that is specifically known as the National Coal Museum. This museum is dedicated to exploring",The National Coal Museum.,The Discovery Centre,The Visitor Centre at Leicester Science Center. 
trivia_qa,11029,lexical,King George IV,0.9628946185112,0.9536661505699158,King George IV,King George IV,-0.17183152,-0.14114954,King George IV.,King George IV.,King George IV of the United Kingdom. ,"King George IV. Sir Henry Raeburn was known as the ""King's Painter"" due to his association with King George IV and his work during that time period. He painted portraits of the king and other royal figures, often depicting scenes from his"
trivia_qa,11029,syntactic,King George IV,0.9666363596916199,0.9674240946769714,King George IV,King George IV,-0.17129612,-0.23708893,King George IV.,"King George IV. To find the answer, I looked up historical records of Sir Henry Raeburn's knighthood and discovered that he was knighted by King George IV on June 30, 1822. The king granted",King George IV of the United Kingdom. ,King George III of Great Britain
trivia_qa,11029,voice,King George IV,0.9592456817626953,0.9638874530792236,King George IV,King George IV,-0.16249901,-0.054941867,King George IV.,King George IV.,King George IV of the United Kingdom. ,King George IV
trivia_qa,11029,formality,King George IV,0.9638875722885132,0.9638874530792236,King George IV,King George IV,-0.17183152,-0.079741575,King George IV.,King George IV.,King George IV of the United Kingdom. ,King George IV
trivia_qa,3349,lexical,SUGAR LOAF,0.9874151945114136,0.9785513877868652,Sugarloaf Mountain,Sugarloaf Mountain,-0.020352907,-0.020728735,"Sugarloaf Mountain. The Sugarloaf Mountain is an iconic landmark that overlooks the city of Rio de Janeiro, Brazil's largest city and the capital of the state of Rio de Janeiro. It is also known as Pão de Açúcar","Sugarloaf Mountain. The Sugarloaf Mountain is the highest peak in the city of Rio de Janeiro, Brazil, and it offers stunning views of the city's iconic landmarks such as Christ the Redeemer statue and Copacabana beach. It",Monte Alegre,Ponta Delgada
trivia_qa,3349,syntactic,SUGAR LOAF,0.9955803155899048,0.9878476858139038,Sugarloaf Mountain,Sugarloaf Mountain,-0.01701226,-0.012228361,"Sugarloaf Mountain. The Sugarloaf Mountain is an iconic landmark that overlooks the city of Rio de Janeiro, Brazil's largest city and the capital of the state of Rio de Janeiro. It is also known as Pão de Açúcar","Sugarloaf Mountain. The Sugarloaf Mountain is the most famous landmark of Rio de Janeiro, Brazil. It's an iconic symbol of the city and can be seen from many parts of the city including the harbor.",Monte Alegre,Montevidéu
trivia_qa,3349,voice,SUGAR LOAF,0.9518442153930664,0.9486253261566162,Sugarloaf Mountain,Sugarloaf Mountain,-0.018615758,-0.011252946,"Sugarloaf Mountain. The Sugarloaf Mountain is an iconic landmark that overlooks the city of Rio de Janeiro, Brazil's largest city and the capital of the state of Rio de Janeiro. It is also known as Pão de Açúcar","Sugarloaf Mountain. The Sugarloaf Mountain overlooks the city of Rio de Janeiro and its harbor, providing stunning views to visitors.",Monte Alegre,Aparokoa
trivia_qa,3349,formality,SUGAR LOAF,0.9817532896995544,0.9878476858139038,Sugarloaf Mountain,Sugarloaf Mountain,-0.01701226,-0.024990695,"Sugarloaf Mountain. The Sugarloaf Mountain is an iconic landmark that overlooks the city of Rio de Janeiro, Brazil's largest city and the capital of the state of Rio de Janeiro. It is also known as Pão de Açúcar","Sugarloaf Mountain. The Sugarloaf Mountain, also known as Pico do Morro de São Paulo or simply Morro da Urca, is the most prominent peak in the city of Rio de Janeiro, Brazil. It stands at an elevation",Monte Alegre,Aparokoa
trivia_qa,3039,lexical,Seats,0.9404003024101257,0.9495619535446167,Car seats,Car seats,-0.04699747,-0.042679865,"Recaro is famous for producing Formula One racing seats. They have been supplying seats to the FIA and various teams since 1950, including Red Bull Racing, Williams, and Mercedes. Their seats are known for their comfort, support,",Car seats.,"Recaro's famous product is the Recaro Pro 300, which is a high-performance seat cushion designed for professional and sports environments. It features a unique design that allows it to absorb shock and vibration while providing comfort and support. The Rec",High-efficiency air purifiers. 
trivia_qa,3039,syntactic,Seats,0.9634047746658325,0.9634047150611877,Car seats,Car seats,-0.045002453,-0.010893245,"Recaro is famous for producing Formula One racing seats. They have been supplying seats to the FIA and various teams since 1950, including Red Bull Racing, Williams, and Mercedes. Their seats are known for their comfort, support,","Recaro produces luxury reclining seats for aircraft. The correct answer to the trivia question is that Recaro is famous for producing luxury reclining seats for aircraft. These seats are known for their comfort and quality, making them popular among passengers on commercial flights","Recaro's famous product is the Recaro Pro 300, which is a high-performance seat cushion designed for professional and sports environments. It features a unique design that allows it to absorb shock and vibration while providing comfort and support. The Rec","Recaro's popular product is the Recaro Pro, which is known for its exceptional durability and comfort in sports applications. It features a lightweight yet durable composite material that provides excellent shock absorption and protection against impact forces. The Pro is designed to withstand rigorous"
trivia_qa,3039,voice,Seats,0.9634047746658325,0.9634047150611877,Car seats,Car seats,-0.045002453,-0.010893245,"Recaro is famous for producing Formula One racing seats. They have been supplying seats to the FIA and various teams since 1950, including Red Bull Racing, Williams, and Mercedes. Their seats are known for their comfort, support,","Recaro produces luxury reclining seats for aircraft. The correct answer to the trivia question is that Recaro is famous for producing luxury reclining seats for aircraft. These seats are known for their comfort and quality, making them popular among passengers on commercial flights","Recaro's famous product is the Recaro Pro 300, which is a high-performance seat cushion designed for professional and sports environments. It features a unique design that allows it to absorb shock and vibration while providing comfort and support. The Rec","Recaro's popular product is the Recaro Pro, which is known for its exceptional durability and comfort in sports applications. It features a lightweight yet durable composite material that provides excellent shock absorption and protection against impact forces. The Pro is designed to withstand rigorous"
trivia_qa,3039,formality,Seats,0.9634047746658325,0.9634047150611877,Car seats,Car seats,-0.045002453,-0.011241512,"Recaro is famous for producing Formula One racing seats. They have been supplying seats to the FIA and various teams since 1950, including Red Bull Racing, Williams, and Mercedes. Their seats are known for their comfort, support,","Recaro produces luxury reclining seats for aircraft. The correct answer to the trivia question is that Recaro is famous for producing luxury reclining seats for aircraft. These seats are known for their comfort and quality, making them popular among passengers on commercial flights","Recaro's famous product is the Recaro Pro 300, which is a high-performance seat cushion designed for professional and sports environments. It features a unique design that allows it to absorb shock and vibration while providing comfort and support. The Rec","Recaro's popular product is the Recaro Pro, which is known for its exceptional durability and comfort in sports applications. It features a lightweight yet durable composite material that provides excellent shock absorption and protection against impact forces. The Pro is designed to withstand rigorous"
trivia_qa,12449,lexical,The Red Cross,0.9727291464805603,0.9503841996192932,International Committee of the Red Cross,International Committee of the Red Cross,-0.20834163,-0.45545673,International Committee of the Red Cross.,International Red Cross.,International Committee of the Red Cross. ,International Committee of the Red Cross
trivia_qa,12449,syntactic,The Red Cross,0.9667932987213135,0.9412055611610413,International Committee of the Red Cross,International Committee of the Red Cross,-0.21025534,-0.41560057,International Committee of the Red Cross.,The International Red Cross.,International Committee of the Red Cross. ,United Nations
trivia_qa,12449,voice,The Red Cross,0.9667932987213135,0.9412055611610413,International Committee of the Red Cross,International Committee of the Red Cross,-0.14852048,-0.5259205,International Committee of the Red Cross.,The International Red Cross.,International Committee of the Red Cross. ,United Nations
trivia_qa,12449,formality,The Red Cross,0.9440126419067383,0.9280989170074463,International Committee of the Red Cross,The Red Cross,-0.20946674,-0.06971976,International Committee of the Red Cross.,The Red Cross.,International Committee of the Red Cross. ,The International Committee of the Red Cross. 
trivia_qa,3169,lexical,Nemesis,0.981353759765625,0.9352233409881592,Nemesis,Nemesis,-0.0011911796,-0.00040469383,The Greek goddess of punishment is Minos.,"The Greek deity of retribution is called ""Morpheus."" Morpheus is associated with sleep and dreams in Greek mythology. He was also known as the god of nightmares and was often depicted as a winged man or a snake-headed figure",Hades. ,Hades. 
trivia_qa,3169,syntactic,Nemesis,0.9673762917518616,0.9673762917518616,Nemesis,Nemesis,-0.0005866335,-0.0005052541,The Greek goddess of punishment is Minos.,"The Greek goddess of punishment, who is often associated with causing someone's downfall, is called ""Kali."" However, it's important to note that Kali is not typically considered as the primary goddess responsible for causing people's downfall. In Greek mythology",Hades. ,Athena
trivia_qa,3169,voice,Nemesis,0.9643506407737732,0.9643506407737732,Nemesis,Nemesis,-0.00070874026,-0.0004977479,The Greek goddess of punishment is Minos.,"The Greek goddess of punishment, who refers to the cause of a person's downfall, is called ""Kali"" or ""Dike."" Kali was originally a war goddess and later became associated with justice and retribution. Dike, on the",Hades. ,Athena
trivia_qa,3169,formality,Nemesis,0.9269636273384094,0.9236337542533875,Nemesis,Nemesis,-0.0006162932,-0.0016997026,The Greek goddess of punishment is Minos.,"Tartarus. The Greek god of punishment, Tartarus is associated with the concept of divine retribution and was often invoked to explain why someone might have failed in life or had misfortune.",Hades. ,Athena
trivia_qa,11763,lexical,BATTLE OF THE SOMME,0.9327499866485596,0.9686145186424255,The Battle of the Somme.,The Battle of the Somme,-0.47220466,-0.1317267,The Battle of the Somme.,The Battle of the Somme.,Somme Offensive,"The First World War (1914-1918) saw 60,000 British casualties on the opening day. This occurred in July and August, during which the British Army advanced by approximately 12 kilometers."
trivia_qa,11763,syntactic,BATTLE OF THE SOMME,0.955866277217865,0.9533770680427551,The Battle of the Somme,The Battle of the Somme,-0.45574406,-0.3292135,The Battle of the Somme.,The Battle of the Somme.,Somme Offensive,Battle of Ypres
trivia_qa,11763,voice,BATTLE OF THE SOMME,0.9806647300720215,0.9736347198486328,The Battle of the Somme.,The Battle of the Somme.,-0.47220466,-0.28082812,The Battle of the Somme.,The Battle of the Somme.,Somme Offensive,Battle of the Somme (1916)
trivia_qa,11763,formality,BATTLE OF THE SOMME,0.962060809135437,0.977322518825531,The Battle of the Somme.,The Battle of the Somme.,-0.47220466,-0.14100657,The Battle of the Somme.,The Battle of the Somme.,Somme Offensive,"Battle of Cambrai. In July, the British Expeditionary Force (BEF) faced off against German forces at Cambrai. This battle was significant as it resulted in the BEF's advance of 12 kilometers, which marked a major victory"
trivia_qa,11270,lexical,Third,0.9953864216804504,1.0000001192092896,Third,Third,-0.18267366,-0.22680409,June. The Jewish month of Sivan typically falls in late May or early June on the Gregorian calendar. It's one of the seven months that have 30 days and marks the beginning of summer in Israel.,The month of Sivan in the Jewish calendar corresponds to June and July in the Gregorian calendar.,"Sivan is the first month in the Jewish religious year. It falls on March 21-23, 2023. The Jewish calendar follows the Hebrew calendar, which was established by Moses and his sons as a way to keep","The month of Sivan in the Jewish calendar corresponds to the month of May. It's also known as ""Shavuot"" or ""Festival of Weeks."" This festival celebrates the completion of the Torah reading and is celebrated by giving gifts to"
trivia_qa,11270,syntactic,Third,0.9613036513328552,1.0000001192092896,Third,Sivan,-0.18267366,-0.7760087,June. The Jewish month of Sivan typically falls in late May or early June on the Gregorian calendar. It's one of the seven months that have 30 days and marks the beginning of summer in Israel.,"May. The month of Sivan in the Jewish calendar corresponds to May in the Gregorian calendar. It's one of the seven months that are considered holy and have special significance in Jewish tradition, including the holiday of Shavuot which falls on","Sivan is the first month in the Jewish religious year. It falls on March 21-23, 2023. The Jewish calendar follows the Hebrew calendar, which was established by Moses and his sons as a way to keep","Sivan is the month of the religious year known as the ""Month of the Sea"" or ""Sivan"". It falls between March and April. This month is associated with the sea, water, and the beginning of new beginnings. In Judaism,"
trivia_qa,11270,voice,Third,0.9613036513328552,1.0000001192092896,Third,Sivan,-0.18267366,-0.55899423,June. The Jewish month of Sivan typically falls in late May or early June on the Gregorian calendar. It's one of the seven months that have 30 days and marks the beginning of summer in Israel.,"May. The month of Sivan in the Jewish calendar corresponds to May in the Gregorian calendar. It's one of the seven months that are considered holy and have special significance in Jewish tradition, including the holiday of Shavuot which falls on","Sivan is the first month in the Jewish religious year. It falls on March 21-23, 2023. The Jewish calendar follows the Hebrew calendar, which was established by Moses and his sons as a way to keep","Sivan is the month of the religious year known as the ""Month of the Sea"" or ""Sivan"". It falls between March and April. This month is associated with the sea, water, and the beginning of new beginnings. In Judaism,"
trivia_qa,11270,formality,Third,0.9582513570785522,0.9582513570785522,Third,Third,-0.19712874,-0.714443,June. The Jewish month of Sivan typically falls in late May or early June on the Gregorian calendar. It's one of the seven months that have 30 days and marks the beginning of summer in Israel.,"May. The month of Sivan in the Jewish calendar corresponds to May in the Gregorian calendar. This month marks the beginning of summer and is considered one of the holiest months for Jews, as it includes the holiday of Shavuot,","Sivan is the first month in the Jewish religious year. It falls on March 21-23, 2023. The Jewish calendar follows the Hebrew calendar, which was established by Moses and his sons as a way to keep",May
trivia_qa,8667,lexical,Violin,0.9750580191612244,0.9912598729133606,Violin,Violin,-0.04577673,-0.1283472,"violin. Fritz Kreisler was a renowned violinist and composer who played the violin for over 70 years, becoming one of the most celebrated violinists in history. He is known for his technical brilliance, expressive playing style, and innovative compositions",violin,piano,piano
trivia_qa,8667,syntactic,Violin,0.9674472212791443,0.9651851058006287,Violin,Violin,-0.04577673,-0.13894767,"violin. Fritz Kreisler was a renowned violinist and composer who played the violin for over 70 years, becoming one of the most celebrated violinists in history. He is known for his technical brilliance, expressive playing style, and innovative compositions",Violin.,piano,violin
trivia_qa,8667,voice,Violin,0.9674472212791443,0.9651851058006287,Violin,Violin,-0.04577673,-0.13894767,"violin. Fritz Kreisler was a renowned violinist and composer who played the violin for over 70 years, becoming one of the most celebrated violinists in history. He is known for his technical brilliance, expressive playing style, and innovative compositions",Violin.,piano,violin
trivia_qa,8667,formality,Violin,0.9452610611915588,0.9494814276695251,Violin,Violin,-0.04577673,-0.0660342,"violin. Fritz Kreisler was a renowned violinist and composer who played the violin for over 70 years, becoming one of the most celebrated violinists in history. He is known for his technical brilliance, expressive playing style, and innovative compositions",Violin.,piano,The piano. 
trivia_qa,1423,lexical,Great Train Robbery,0.9626820683479309,0.9551070332527161,The Great Train Robbery,The Great Train Robbery,-0.45763627,-0.3975748,The Bank Robbery of 1724.,The 1986 robbery of the Rob Roy Hotel in London.,"The Robber Barons of England (RBOE) was the notorious crime syndicate that Bruce Reynolds led in the late 16th century. He orchestrated numerous high-profile robberies and was known for his cunning and ruthless tactics. His """,Theft of Buckingham Palace jewels. 
trivia_qa,1423,syntactic,Great Train Robbery,0.959464967250824,0.9484788179397583,The Great Train Robbery,The Great Train Robbery.,-0.45763627,-0.18287234,The Bank Robbery of 1724.,The 1974 Tate Modern Heist.,"The Robber Barons of England (RBOE) was the notorious crime syndicate that Bruce Reynolds led in the late 16th century. He orchestrated numerous high-profile robberies and was known for his cunning and ruthless tactics. His """,The Robber Barons of England. 
trivia_qa,1423,voice,Great Train Robbery,0.9620690941810608,0.9517084360122681,The Great Train Robbery,The Great Train Robbery.,-0.46565005,-0.066383965,The Bank Robbery of 1724.,"The 1974 Tate Modern Heist. This notorious crime involved the theft of over £2 million worth of art from the Tate Gallery in London and is considered one of the most daring bank robberies in history. Bruce Reynolds, who was","The Robber Barons of England (RBOE) was the notorious crime syndicate that Bruce Reynolds led in the late 16th century. He orchestrated numerous high-profile robberies and was known for his cunning and ruthless tactics. His """,The Robber Barons of England. 
trivia_qa,1423,formality,Great Train Robbery,0.9439458250999451,0.9361169338226318,The Great Train Robbery,The Great Train Robbery,-0.45763627,-0.13023093,The Bank Robbery of 1724.,The Bank of Ireland raid.,"The Robber Barons of England (RBOE) was the notorious crime syndicate that Bruce Reynolds led in the late 16th century. He orchestrated numerous high-profile robberies and was known for his cunning and ruthless tactics. His ""","The famous robbery was the 1980s British bank robbery known as the 'Sistine Chapel ceiling' scheme. This involved Bruce Reynolds, who had been convicted of murder and sentenced to life in prison, planning to rob the Sistine Chapel"
trivia_qa,15054,lexical,RUGBY SEVENS,0.9610373973846436,0.9310615658760071,Polo,Polo,-0.9540299,-1.0703219,The Melrose Cup is awarded in Australian Rules Football.,The Melrose Cup is given in Australian Rules Football.,Cricket. ,Cricket
trivia_qa,15054,syntactic,RUGBY SEVENS,0.9683575630187988,0.9683575630187988,Polo,Rugby Sevens,-0.9540299,-0.0022274524,The Melrose Cup is awarded in Australian Rules Football.,"Cricket. The Melrose Cup is an annual cricket trophy awarded to the winner of the Lord's cricket match between England and Australia, held at Lord's Cricket Ground in London. It was first presented in 1890 by Sir William Melrose",Cricket. ,Australian Rules Football (AFL)
trivia_qa,15054,voice,RUGBY SEVENS,0.9683575630187988,0.9683575630187988,Polo,Rugby Sevens,-0.9540299,-0.0017997696,The Melrose Cup is awarded in Australian Rules Football.,"Cricket. The Melrose Cup is an annual cricket trophy awarded to the winner of the Lord's cricket match between England and Australia, held at Lord's Cricket Ground in London. It was first presented in 1890 by Sir William Melrose",Cricket. ,Australian Rules Football (AFL)
trivia_qa,15054,formality,RUGBY SEVENS,0.9440130591392517,0.9464700222015381,Rugby,Rugby.,-0.47030616,-0.15200946,The Melrose Cup is awarded in Australian Rules Football.,"The Melrose Cup is awarded for winning the Australian Open tennis tournament. Tennis is a sport played on a court, using rackets to hit a small white ball over a net into a hoop called a ""service box"" at the end of the opponents",Cricket. ,Football (soccer)
trivia_qa,17571,lexical,Table tennis,0.9674932956695557,0.9499305486679077,Table tennis,Table tennis,-0.0014414231,-0.0061175562,"American football. The Victor Barna Award is given annually to the most outstanding defensive player in college football, and it's commonly associated with American football.",The Victor Barna Award is given out at the Super Bowl.,Football (soccer),"The game that earned the Victor Barna Award is ""The Powerpuff Girls"" (1998-2003). This animated series was known for its energetic and colorful characters, including the powerpuff girls. The award recognizes"
trivia_qa,17571,syntactic,Table tennis,0.9903556108474731,0.9846707582473755,Table tennis,Table tennis,-0.0017168276,-0.0029623692,"American football. The Victor Barna Award is given annually to the most outstanding defensive player in college football, and it's commonly associated with American football.","American football. The Victor Barna Award is given annually to the most outstanding offensive player in college football, and it's named after Victor Barna, who was an All-American running back for the University of Michigan Wolverines from 1925",Football (soccer),"Football (also known as soccer) is the sport that could win the Victor Barna Award. The award was first given in 1984 to the best player of any sport, and it's named after Victor Barna, a Swedish football"
trivia_qa,17571,voice,Table tennis,0.9650284647941589,0.9591832756996155,Table tennis,Table tennis,-0.0017168276,-0.0013336941,"American football. The Victor Barna Award is given annually to the most outstanding defensive player in college football, and it's commonly associated with American football.",The Victor Barna Award can be won in football.,Football (soccer),"Football (also known as soccer) is the sport that could win the Victor Barna Award. The award was established by the Victor Barna Foundation, which is an organization dedicated to promoting and supporting sports for underprivileged children. It's named after the"
trivia_qa,17571,formality,Table tennis,0.9837044477462769,0.9505419731140137,Table tennis,Table tennis,-0.0017168276,-0.002189995,"American football. The Victor Barna Award is given annually to the most outstanding defensive player in college football, and it's commonly associated with American football.","American football. The Victor Barna Award is given annually to the most outstanding offensive player in college football, and it's named after Victor Barna, who was an All-American running back at the University of Michigan from 1927-1",Football (soccer),Football (also known as soccer) is one of the most popular sports that can be won the Victor Barna Award. The award is given to the player who has been the best goalkeeper in their country for the past 10 years. This prestigious
trivia_qa,4090,lexical,Who Wants To Be a Millionaire?,0.9553700685501099,0.9511963129043579,Who Wants to Be a Millionaire?,Who Wants to Be a Millionaire,-0.0024056237,-0.0015787787,Strictly Come Dancing.,The X Factor.,The X Factor,The Guardian Show
trivia_qa,4090,syntactic,Who Wants To Be a Millionaire?,0.9643740057945251,0.9259383082389832,Who Wants to Be a Millionaire?,Who Wants to Be a Millionaire,-0.0031095035,-0.0023523378,Strictly Come Dancing.,"Antiques Roadshow. Judith Keppel won the coveted £25,000 in 2013 on the popular BBC TV show Antiques Roadshow.",The X Factor,The Queen's Gambit. 
trivia_qa,4090,voice,Who Wants To Be a Millionaire?,0.9432714581489563,0.9273279309272766,Who Wants to Be a Millionaire?,Who Wants to Be a Millionaire,-0.0028805956,-0.009083084,Strictly Come Dancing.,The Apprentice.,The X Factor,"The BBC's ""The X Factor"""
trivia_qa,4090,formality,Who Wants To Be a Millionaire?,0.9248826503753662,0.9164679050445557,Who Wants to Be a Millionaire?,Judith Keppel,-0.0031095035,-0.69987917,Strictly Come Dancing.,"The first person to win the top prize on the UK version of ""Who Wants to Be a Millionaire?"" was David Walliams. He correctly answered all four questions and won £1 million in 2005.",The X Factor,"The first person to win the top prize on that UK show was Dame Edwina Turner. She won in 1968 for her performance as Lady Macbeth of Maccabees. Dame Edwina Turner is an English actress,"
trivia_qa,12403,lexical,Cat,0.9751545786857605,0.9616860151290894,Cat,Cat,-0.5035608,-0.3333777,"cat. The Turkish Van is a domestic breed of cat originating in Turkey. It has distinctive white fur with dark spots and stripes on its body. Its name comes from the ancient city of Van where it was first bred. Despite being a domestic breed,","cat. The Turkish Van is a domestic breed of cat originating in Turkey. It has distinctive white fur with black points on its ears, eyes, and tail. This breed was recognized by the International Cat Association (TICA) in 198",Dalmatian,Turkish Van
trivia_qa,12403,syntactic,Cat,0.9498966932296753,0.9375408291816711,Cat,Turkish Van,-0.5035608,-0.05970994,"cat. The Turkish Van is a domestic breed of cat originating in Turkey. It has distinctive white fur with dark spots and stripes on its body. Its name comes from the ancient city of Van where it was first bred. Despite being a domestic breed,","The domestic breed of the Turkish Van, originating from the eastern Turkish lakeside city of Van, is called the Turkish Van.",Dalmatian,Dalmatian
trivia_qa,12403,voice,Cat,0.9788272976875305,0.9005445241928101,Cat,Cat,-0.4923275,-0.04898382,"cat. The Turkish Van is a domestic breed of cat originating in Turkey. It has distinctive white fur with dark spots and stripes on its body. Its name comes from the ancient city of Van where it was first bred. Despite being a domestic breed,","cat. The Turkish Van is a domestic breed of cat originating in Turkey. It has distinctive white fur with black points on its ears, eyes, and tail. This breed was first recognized by the International Cat Association in 1978.",Dalmatian,sheep
trivia_qa,12403,formality,Cat,0.9114928245544434,0.8935047388076782,Cat,Cat,-0.5035608,-0.11309851,"cat. The Turkish Van is a domestic breed of cat originating in Turkey. It has distinctive white fur with dark spots and stripes on its body. Its name comes from the ancient city of Van where it was first bred. Despite being a domestic breed,","The Turkish Van is a long-haired domestic cat breed. To be more specific, it's an ancient breed that originated in the Eastern Mediterranean region and was first recognized by the International Cat Association (TICA) in 1981. It has",Dalmatian,"The Turkish Van is a breed of dog. It's known for its distinctive appearance and is often used as a hunting dog in Turkey. The exact breed standard isn't widely publicized, but it typically includes features like a pointed head, long legs,"
trivia_qa,2582,lexical,FUNNY GIRL,0.9899195432662964,0.9874523878097534,Funny Girl,Funny Girl,-0.060630772,-0.043666296,The musical featuring the song 'Second Hand Rose' is Les Misérables.,The musical that showcases the song 'Second Hand Rose' is Les Misérables.,"The musical featuring the song ""Second Hand Rose"" is ""The Sound of Music"". This classic Disney film includes several songs, including ""Second Hand Rose"", which was sung by Julie Andrews. The movie tells the story of Maria von Trapp and her","""The Sound of Music"" is a musical that showcases the song ""Second Hand Rose"". It was first performed in 1965 and has been a beloved classic for decades. The show features the main characters, Maria and Mr. Mozart,"
trivia_qa,2582,syntactic,FUNNY GIRL,0.9478378295898438,0.942004382610321,Funny Girl,Jazz influences,-0.04035525,-0.9203891,The musical featuring the song 'Second Hand Rose' is Les Misérables.,"The song 'Second Hand Rose' by the Beatles includes orchestral arrangements, piano solos, and vocal harmonies.","The musical featuring the song ""Second Hand Rose"" is ""The Sound of Music"". This classic Disney film includes several songs, including ""Second Hand Rose"", which was sung by Julie Andrews. The movie tells the story of Maria von Trapp and her","The song ""Second Hand Rose"" is a popular rock song that was written and performed by the American singer-songwriter Bob Dylan. It's known for its catchy melody, lyrics about relationships, and its use of the guitar as a prominent instrument in the"
trivia_qa,2582,voice,FUNNY GIRL,0.9627688527107239,0.9579402804374695,Funny Girl,"""Second Hand Rose""",-0.05852295,-0.54320043,The musical featuring the song 'Second Hand Rose' is Les Misérables.,"""I'm Gonna Miss You"" by The Beatles.","The musical featuring the song ""Second Hand Rose"" is ""The Sound of Music"". This classic Disney film includes several songs, including ""Second Hand Rose"", which was sung by Julie Andrews. The movie tells the story of Maria von Trapp and her","""I Will Always Love You"" by Whitney Houston. "
trivia_qa,2582,formality,FUNNY GIRL,0.9427251815795898,0.942004382610321,Funny Girl,Jazz and vaudeville influences.,-0.05852295,-0.86281794,The musical featuring the song 'Second Hand Rose' is Les Misérables.,The song 'Second Hand Rose' by Adele has a piano melody.,"The musical featuring the song ""Second Hand Rose"" is ""The Sound of Music"". This classic Disney film includes several songs, including ""Second Hand Rose"", which was sung by Julie Andrews. The movie tells the story of Maria von Trapp and her","The song ""Second Hand Rose"" has several musical features, including:"
trivia_qa,9606,lexical,Adam Smith,0.9824796915054321,0.9543713927268982,Napoleon Bonaparte,Napoleon Bonaparte,-0.017599005,-0.011476065,"William Gladstone, the 19th century British Prime Minister and Liberal Party leader, is credited with describing England as ""a nation of shopkeepers."" This quote reflects his belief that English society was based on commerce and industry.",Winston Churchill.,"Oliver Cromwell. He was the leader of the English Civil War and is often credited with popularizing the term ""shopkeeper"" to describe people who work in retail establishments, particularly those that sell goods for profit. His description became widely used by the","Oliver Cromwell. He was the leader of the English Civil War and is known for his role in the establishment of the Commonwealth of England, which lasted from 1649 to 1653. As Lord Protector, he was responsible"
trivia_qa,9606,syntactic,Adam Smith,0.9525921940803528,0.9579259753227234,Napoleon Bonaparte,Napoleon Bonaparte,-0.01790186,-0.013895379,"William Gladstone, the 19th century British Prime Minister and Liberal Party leader, is credited with describing England as ""a nation of shopkeepers."" This quote reflects his belief that English society was based on commerce and industry.",The famous person who described England as 'a nation of shopkeepers' was William Makepeace Thackeray.,"Oliver Cromwell. He was the leader of the English Civil War and is often credited with popularizing the term ""shopkeeper"" to describe people who work in retail establishments, particularly those that sell goods for profit. His description became widely used by the","Oliver Cromwell. He was an English statesman, politician and military leader who played a significant role in the English Civil War and later became the Lord Protector of Great Britain from 1658 to 1659. As a merchant"
